asin,ISBN10,brand,image_url,title,categories
593135202,593135202,Andy Weir,"https://images-na.ssl-images-amazon.com/images/I/51T7PRuzilL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Project Hail Mary: A Novel,"[""Books"",""Literature & Fiction"",""Action & Adventure""]"
525509283,525509283,Ibram X. Kendi,"https://images-na.ssl-images-amazon.com/images/I/51FXGegFoSL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",How to Be an Antiracist,"[""Books"",""History"",""Americas""]"
059346527X,059346527X,Amanda Gorman,"https://images-na.ssl-images-amazon.com/images/I/41swQHt2NPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Hill We Climb: An Inaugural Poem for the Country,"[""Books"",""Literature & Fiction"",""Poetry""]"
679890475,9.78068E+12,P.D. Eastman,"https://images-na.ssl-images-amazon.com/images/I/51tUU+xik5L._SY344_BO1,204,203,200_.jpg",Are You My Mother? (Bright & Early Board Books(TM)),"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
593135938,593135938,Tiffany Jenkins,"https://images-na.ssl-images-amazon.com/images/I/41DQHQoQWVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",High Achiever: The Incredible True Story of One Addict's Double Life,"[""Books"",""Self-Help"",""Relationships""]"
679891145,9.78068E+12,Bonnie Worth,"https://images-na.ssl-images-amazon.com/images/I/51PStoZII1L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Oh Say Can You Say Di-no-saur?: All About Dinosaurs (Cat in the Hat's Learning Library),"[""Books"",""Children's Books"",""Literature & Fiction""]"
679891153,9.78068E+12,Tish RabeAristides Ruiz,"https://images-na.ssl-images-amazon.com/images/I/51eCXds1tjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",There's No Place Like Space: All About Our Solar System (Cat in the Hat's Learning Library),"[""Books"",""Children's Books"",""Literature & Fiction""]"
545663261,545663261,Suzanne Collins,"https://images-na.ssl-images-amazon.com/images/I/414rRyIJsDL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Mockingjay (Hunger Games),"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
593505034,593505034,Lee Child,"https://images-na.ssl-images-amazon.com/images/I/51fIMY4hZoL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Better Off Dead: A Jack Reacher Novel,"[""Books"",""Literature & Fiction"",""Action & Adventure""]"
545670314,545670314,Suzanne Collins,"https://images-na.ssl-images-amazon.com/images/I/51dvPNSo82L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Hunger Games Trilogy: The Hunger Games / Catching Fire / Mockingjay,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
